SortChem_#,Site,Date,Rounded Depth (m),Hydrolab Depth,Time_hr_dst,IBVSvr4a_V,Temp_C,Cond_uS,pH,DO_Sat,DO_mg/l,DO_umoles/L,Chl_V,Chl_ug/l,PAR_uEm2s,refPAR_uEm2s,Hydrolab,Secchi_m,Notes
,I1,21-Jun-11,5,4.98,.,.,8.69,28.50,7.15,101.8,10.84,.,0.08,8.16,18,.,.,2.1,Values for this depth not saved to Surveyor. I used values recorded in Field Book.
,I1,21-Jun-11,6,6,11:42,7.2,8.12,28.50,7.1,99.7,10.79,.,0.08,7.85,10,.,.,2.1,
,I1,21-Jun-11,7,7.01,11:44,7.1,7.75,28.50,7.06,97.4,10.64,.,0.08,8.16,5,.,.,2.1,
,I1,21-Jun-11,8,8.01,11:45,7.1,7.5,28.40,7.04,96.2,10.57,.,0.08,7.93,2,.,.,2.1,
2011-2078,I1,21-Jun-11,9,9.02,11:45,7.1,7.26,28.50,7,94.4,10.43,.,0.08,8.15,1,.,.,2.1,
,I1,21-Jun-11,9.5,9.52,11:47,7.1,7.21,28.50,6.99,93.6,10.35,.,0.09,8.81,,.,.,2.1,
,I2,21-Jun-11,0,0.01,9:24,7.6,10.48,26.20,7.24,102.8,10.51,.,0.02,1.51,343,.,.,3,
,I2,21-Jun-11,0.5,0.48,9:25,7.6,10.45,26.20,7.2,102.7,10.51,.,0.02,2.06,265,.,.,3,
2011-2079,I2,21-Jun-11,1,0.99,9:26,7.5,10.41,26.20,7.18,102.5,10.5,.,0.03,2.49,135,.,.,3,
,I2,21-Jun-11,2,1.98,9:28,7.5,10.17,26.10,7.14,101.5,10.46,.,0.05,4.67,46,.,.,3,
,I2,21-Jun-11,3,2.96,9:29,7.5,9.71,26.10,7.09,100.8,10.5,.,0.06,6.17,24,.,.,3,
2011-2080,I2,21-Jun-11,4,3.97,9:31,7.5,7.12,26.00,6.91,91.7,10.17,.,0.09,8.37,11,.,.,3,Metalimnion
,I2,21-Jun-11,5,4.98,9:33,7.4,6.48,25.90,6.84,88.4,9.96,.,0.08,8.47,4,.,.,3,
,I2,21-Jun-11,6,6,9:34,7.4,5.75,25.70,6.79,84.7,9.72,.,0.05,4.42,3,.,.,3,
,I2,21-Jun-11,7,6.99,9:36,7.4,5.46,25.70,6.76,82.9,9.58,.,0.04,3.37,,.,.,3,
,I2,21-Jun-11,8,7.96,9:37,7.4,5.29,25.80,6.76,81.9,9.51,.,0.03,2.98,,.,.,3,
,I2,21-Jun-11,9,8.99,9:39,7.4,5.09,25.80,6.74,80.1,9.36,.,0.03,2.73,,.,.,3,
,I2,21-Jun-11,10,9.99,9:40,7.3,5.06,26.00,6.73,80,9.35,.,0.03,2.28,,.,.,3,
,I2,21-Jun-11,11,11.01,9:41,7.3,4.99,26.00,6.73,79.6,9.32,.,0.03,2.25,,.,.,3,
,I2,21-Jun-11,12,12,9:43,7.3,4.93,26.00,6.72,79.1,9.27,.,0.02,2.09,,.,.,3,
,I2,21-Jun-11,13,12.98,9:44,7.3,4.88,25.90,6.71,78.3,9.19,.,0.02,2.09,,.,.,3,
2011-2081,I2,21-Jun-11,14,13.99,9:45,7.3,4.76,26.30,6.7,76.6,9.02,.,0.02,2.06,,.,.,3,
,I2,21-Jun-11,15,14.98,9:46,7.3,4.74,26.50,6.69,75.1,8.85,.,0.02,2.09,,.,.,3,
,I2,21-Jun-11,16,16.02,9:48,7.3,4.68,26.60,6.68,74.2,8.75,.,0.03,2.14,,.,.,3,
,I3,21-Jun-11,0,0.03,12:53,7.1,14.24,24.40,7.34,102.9,9.66,.,0.02,1.58,354,.,.,3,
,I3,21-Jun-11,0.5,0.51,12:54,7.1,14.24,24.40,7.33,102.9,9.66,.,0.03,2.45,171,.,.,3,
2011-2082,I3,21-Jun-11,1,1,12:56,7.1,14.24,24.50,7.32,102.7,9.64,.,0.03,2.39,112,.,.,3,
,I3,21-Jun-11,2,2.02,12:57,7.1,14.21,24.40,7.3,102.6,9.64,.,0.03,2.76,46,.,.,3,
2011-2083,I3,21-Jun-11,3,3.04,12:58,7.1,12.69,24.70,7.15,99.6,9.68,.,0.06,5.49,26,.,.,3,Metalimnion
,I3,21-Jun-11,4,4.01,13:00,7.1,10.52,23.90,6.91,90.1,9.21,.,0.10,9.52,13,.,.,3,
,I3,21-Jun-11,4.5,4.51,13:02,7,9.99,24.00,6.79,81.6,8.44,.,0.13,13.46,9,.,.,3,
,I4,21-Jun-11,0,0.04,14:49,7.1,13.64,20.70,7.21,105,9.99,.,0.02,1.93,367,.,.,2.4,
,I4,21-Jun-11,0.5,0.53,14:50,7.1,13.64,20.60,7.2,105,9.99,.,0.04,3.27,206,.,.,2.4,
2011-2084,I4,21-Jun-11,1,1.02,14:52,7,13.63,20.50,7.19,104.9,9.98,.,0.04,3.87,115,.,.,2.4,
,I4,21-Jun-11,2,1.99,14:53,7,13.39,20.60,7.18,104.5,10,.,0.05,4.70,44,.,.,2.4,
,I4,21-Jun-11,3,3,14:55,7,12.75,20.60,7.11,102.9,9.98,.,0.08,7.94,18,.,.,2.4,
2011-2085,I4,21-Jun-11,4,4.01,14:56,7,9.28,20.20,6.86,94,9.88,.,0.11,10.49,9,.,.,2.4,Metalimnion
,I4,21-Jun-11,5,5,14:57,7,8.31,20.20,6.77,88.2,9.5,.,0.09,8.83,4,.,.,2.4,
2011-2086,I4,21-Jun-11,6,5.99,14:59,7,7.59,20.40,6.64,79.1,8.67,.,0.05,4.58,1,.,.,2.4,
,I4,21-Jun-11,7,7.02,15:00,7,7.34,20.60,6.58,72.6,8,.,0.05,4.29,0,.,.,2.4,
,I5,21-Jun-11,0,0.01,16:07,7,12.04,24.20,7.15,105.7,10.43,.,0.02,1.63,487,.,.,2.6,
,I5,21-Jun-11,0.5,0.49,16:08,7,12.03,24.20,7.14,105.7,10.43,.,0.03,2.36,277,.,.,2.6,
2011-2087,I5,21-Jun-11,1,1,16:09,7,11.99,24.20,7.14,105.6,10.42,.,0.03,2.99,141,.,.,2.6,
,I5,21-Jun-11,2,1.98,16:11,6.9,11.83,24.10,7.12,105.1,10.42,.,0.05,4.46,53,.,.,2.6,
,I5,21-Jun-11,3,2.99,16:12,6.9,11.79,24.10,7.12,105,10.41,.,0.05,4.69,30,.,.,2.6,
2011-2088,I5,21-Jun-11,4,4.02,16:13,6.9,8.55,24.00,6.89,96.2,10.3,.,0.08,7.38,16,.,.,2.6,Metalimnion
,I5,21-Jun-11,5,5,16:15,6.9,7.76,23.70,6.83,92.6,10.11,.,0.07,6.64,16,.,.,2.6,
,I5,21-Jun-11,6,5.99,16:15,6.9,7.58,23.90,6.8,91.8,10.07,.,0.06,6.23,4,.,.,2.6,
,I5,21-Jun-11,7,6.98,16:17,6.9,6.92,24.00,6.77,88.7,9.89,.,0.05,4.55,1,.,.,2.6,
2011-2089,I5,21-Jun-11,8,8.01,16:18,6.9,6.69,23.90,6.75,86.3,9.68,.,0.04,4.02,,.,.,2.6,
,I5,21-Jun-11,9,8.99,16:19,6.9,6.63,23.90,6.74,85.4,9.59,.,0.04,3.79,,.,.,2.6,
,I5,21-Jun-11,10,9.97,16:21,6.9,6.61,23.90,6.73,84.8,9.52,.,0.04,3.98,,.,.,2.6,
,I6 Headwater Lake,21-Jun-11,0,-0.05,17:24,7,12.94,96.60,7.84,106.6,10.3,.,0.02,1.73,163,.,.,4.2,
,I6 Headwater Lake,21-Jun-11,0.5,0.47,17:26,6.9,12.93,96.50,7.84,106.6,10.3,.,0.03,2.22,118,.,.,4.2,
2011-2090,I6 Headwater Lake,21-Jun-11,1,0.98,17:27,6.9,12.9,96.80,7.83,106.2,10.26,.,0.03,2.27,73,.,.,4.2,
,I6 Headwater Lake,21-Jun-11,2,1.98,17:28,6.9,12.3,96.40,7.8,105.6,10.35,.,0.04,3.51,39,.,.,4.2,
,I6 Headwater Lake,21-Jun-11,3,2.99,17:29,6.9,11.56,96.30,7.78,106.5,10.62,.,0.05,4.59,27,.,.,4.2,
2011-2091,I6 Headwater Lake,21-Jun-11,4,4,17:31,6.9,8.29,95.90,7.61,99.2,10.68,.,0.12,12.08,18,.,.,4.2,Metalimnion
,I6 Headwater Lake,21-Jun-11,5,4.99,17:33,6.9,7.82,95.10,7.53,95.1,10.36,.,0.17,17.30,12,.,.,4.2,
2011-2092,I6 Headwater Lake,21-Jun-11,6,5.99,17:34,6.9,7.63,95.20,7.47,90.6,9.92,.,0.16,16.79,6,.,.,4.2,
,I Swamp,22-Jun-11,0,0.04,12:59,6.8,14.57,45.40,7.44,103.3,9.63,.,0.02,1.15,491,.,.,4.1,
,I Swamp,22-Jun-11,0.5,0.5,13:00,6.8,14.55,45.20,7.43,103.2,9.62,.,0.02,1.48,313,.,.,4.1,
2011-2102,I Swamp,22-Jun-11,1,1.01,13:01,6.7,14.54,45.20,7.43,103.2,9.62,.,0.02,1.70,170,.,.,4.1,
,I Swamp,22-Jun-11,2,1.99,13:02,6.7,14.01,46.60,7.3,99.2,9.36,.,0.02,1.96,70,.,.,4.1,
2011-2103,I Swamp,22-Jun-11,3,3.02,13:04,6.7,12.82,45.40,7.27,98.3,9.52,.,0.04,4.01,50,.,.,4.1,Metalimnion
,I Swamp,22-Jun-11,3.5,3.51,13:05,6.7,10.61,42.00,7.22,98.7,10.06,.,0.05,4.27,37,.,.,4.1,
,I Swamp,22-Jun-11,4,4,13:06,6.7,10.26,41.70,7.18,95.8,9.84,.,0.07,6.78,28,.,.,4.1,
,I6,22-Jun-11,0,0.02,9:06,7,12.44,37.50,7.34,106.4,10.4,.,0.02,1.33,588,.,.,3.1,
,I6,22-Jun-11,0.5,0.5,9:07,7,12.18,37.30,7.33,106.1,10.43,.,0.02,1.97,297,.,.,3.1,
2011-2093,I6,22-Jun-11,1,0.99,9:08,7,11.96,37.50,7.32,106,10.47,.,0.02,2.06,153,.,.,3.1,
,I6,22-Jun-11,2,1.98,9:10,7,11.37,37.70,7.29,105,10.51,.,0.05,5.05,70,.,.,3.1,
,I6,22-Jun-11,3,2.99,9:11,6.9,10.33,37.30,7.2,102,10.47,.,0.08,7.90,35,.,.,3.1,
2011-2094,I6,22-Jun-11,4,4.01,9:14,6.9,8.66,37.40,7.04,95.6,10.2,.,0.09,8.58,20,.,.,3.1,Metalimnion
,I6,22-Jun-11,5,4.98,9:16,6.9,6.78,38.00,6.92,86.9,9.72,.,0.08,7.32,9,.,.,3.1,
,I6,22-Jun-11,6,5.99,9:18,6.9,6.25,38.20,6.9,84.1,9.53,.,0.06,5.55,5,.,.,3.1,
,I6,22-Jun-11,7,6.99,9:19,6.9,5.92,38.50,6.88,82,9.37,.,0.04,3.68,2,.,.,3.1,
,I6,22-Jun-11,8,7.99,9:20,6.9,5.71,39.10,6.87,79.4,9.12,.,0.03,2.94,1,.,.,3.1,
,I6,22-Jun-11,9,8.98,9:21,6.9,5.47,39.80,6.85,77.6,8.97,.,0.03,2.20,,.,.,3.1,
,I6,22-Jun-11,10,10.01,9:23,6.9,5.46,39.80,6.85,76.6,8.86,.,0.03,2.29,,.,.,3.1,
,I6,22-Jun-11,11,10.98,9:24,6.9,5.44,39.90,6.85,76.4,8.84,.,0.03,2.27,,.,.,3.1,
2011-2095,I6,22-Jun-11,12,11.99,9:26,6.9,5.44,39.80,6.84,76.2,8.82,.,0.03,2.13,,.,.,3.1,
,I6,22-Jun-11,13,13,9:27,6.8,5.41,39.80,6.84,75.5,8.74,.,0.03,2.12,,.,.,3.1,
,I6,22-Jun-11,13.5,13.51,9:28,6.8,5.4,39.90,6.85,75.2,8.71,.,0.03,2.37,,.,.,3.1,
,I7,22-Jun-11,0,0.01,10:11,6.9,13.88,36.70,7.44,105,9.94,.,0.02,1.24,448,.,.,3.6,
,I7,22-Jun-11,0.5,0.5,10:13,6.9,13.88,36.70,7.45,104.9,9.93,.,0.02,1.59,470,.,.,3.6,
2011-2096,I7,22-Jun-11,1,0.98,10:15,6.8,13.87,36.50,7.44,104.7,9.91,.,0.02,1.72,212,.,.,3.6,
,I7,22-Jun-11,2,1.98,10:16,6.8,13.26,37.00,7.32,102.3,9.82,.,0.03,2.52,177,.,.,3.6,
2011-2097,I7,22-Jun-11,3,2.99,10:18,6.8,9.67,35.80,7.21,103.3,10.76,.,0.06,5.37,63,.,.,3.6,Metalimnion
,I7,22-Jun-11,4,4.01,10:21,6.8,7.7,34.30,7.03,95,10.39,.,0.10,9.48,27,.,.,3.6,
,I7,22-Jun-11,5,4.98,10:24,6.8,6.92,34.10,6.91,88.7,9.88,.,0.08,8.19,10,.,.,3.6,
,I7,22-Jun-11,6,5.96,10:25,6.8,6.62,33.70,6.88,86.3,9.69,.,0.05,4.42,4,.,.,3.6,
,I7,22-Jun-11,7,7,10:27,6.8,6.33,33.50,6.85,84.1,9.51,.,0.04,3.22,3,.,.,3.6,
,I7,22-Jun-11,8,7.96,10:29,6.8,6.27,33.70,6.85,83.2,9.42,.,0.03,2.98,,.,.,3.6,
,I7,22-Jun-11,9,8.99,10:30,6.8,6.22,33.60,6.85,82.6,9.37,.,0.03,2.98,,.,.,3.6,
2011-2098,I7,22-Jun-11,10,9.98,10:31,6.8,6.14,33.70,6.83,81.2,9.23,.,0.04,3.20,,.,.,3.6,
,I7,22-Jun-11,11,10.98,10:33,6.8,6.14,33.50,6.82,80,9.09,.,0.04,3.41,,.,.,3.6,
,I7,22-Jun-11,12,11.97,10:34,6.8,6.08,34.00,6.8,77.6,8.83,.,0.05,4.92,,.,.,3.6,
,I7,22-Jun-11,12.5,12.47,10:35,6.8,6.09,33.90,6.82,77.9,8.86,.,0.05,4.30,,.,.,3.6,
,I8,22-Jun-11,0,0.03,11:36,6.8,13.4,53.40,7.8,108.7,10.39,.,0.03,2.15,713,.,.,2.9,
,I8,22-Jun-11,0.5,0.52,11:37,6.8,13.39,53.50,7.79,108.7,10.4,.,0.03,2.72,471,.,.,2.9,
2011-2099,I8,22-Jun-11,1,0.98,11:38,6.8,13.39,53.40,7.8,108.8,10.41,.,0.04,3.44,318,.,.,2.9,
,I8,22-Jun-11,2,1.97,11:39,6.8,12.85,53.40,7.77,108.2,10.48,.,0.06,6.08,128,.,.,2.9,
,I8,22-Jun-11,3,2.96,11:41,6.8,12.49,53.40,7.76,107.2,10.46,.,0.08,8.24,59,.,.,2.9,
2011-2100,I8,22-Jun-11,4,3.98,11:42,6.7,9.93,50.60,7.52,103.6,10.74,.,0.09,9.10,33,.,.,2.9,Metalimnion
,I8,22-Jun-11,5,5,11:44,6.7,8.48,50.00,7.36,97.8,10.49,.,0.09,8.74,26,.,.,2.9,
,I8,22-Jun-11,6,5.96,11:46,6.7,8.16,50.20,7.27,93.5,10.1,.,0.07,6.66,7,.,.,2.9,
2011-2101,I8,22-Jun-11,7,7.01,11:48,6.7,7.91,50.50,7.18,88.3,9.61,.,0.04,4.16,4,.,.,2.9,
,I8,22-Jun-11,7.5,7.5,11:50,6.7,7.7,52.70,7.01,75.7,8.28,.,0.07,6.64,1,.,.,2.9,
2011-0453,NE14,23-Jun-11,1,1.00,10:58,.,12.06,182.70,8,.,.,.,.,.,.,.,.,5.55,
2011-0454,NE14,23-Jun-11,4,4.00,11:02,.,9.19,182.30,7.92,.,.,.,.,.,.,.,.,5.55,
2011-0455,NE14,23-Jun-11,16,16.00,11:14,.,4.21,213.80,7.35,.,.,.,.,.,.,.,.,5.55,
2011-0239,Toolik,24-Jun-11,0,0.02,9:14,7.6,12.31,76.60,7.67,107.7,10.56,.,0.02,1.99,337,.,.,3.8,
,Toolik,24-Jun-11,0.5,0.51,9:16,7.5,12.3,76.40,7.68,107.5,10.54,.,0.03,2.17,299,.,.,3.8,
2011-0240,Toolik,24-Jun-11,1,0.99,9:17,7.5,12.31,76.40,7.68,107.5,10.53,.,0.04,3.63,133,.,.,3.8,
,Toolik,24-Jun-11,2,2,9:19,7.5,12.14,76.50,7.67,107.1,10.54,.,0.05,4.33,55,.,.,3.8,
2011-0241,Toolik,24-Jun-11,3,2.99,9:21,7.5,11.34,76.40,7.62,106.1,10.63,.,0.07,6.35,34,.,.,3.8,
,Toolik,24-Jun-11,4,3.99,9:23,7.4,9.36,76.90,7.49,102.2,10.73,.,0.10,9.75,10,.,.,3.8,
2011-0242,Toolik,24-Jun-11,5,4.99,9:26,7.4,8.88,76.40,7.46,100.3,10.66,.,0.09,9.09,4,.,.,3.8,
,Toolik,24-Jun-11,6,6.02,9:28,7.4,8.27,76.40,7.42,97.9,10.55,.,0.08,8.21,2,.,.,3.8,
,Toolik,24-Jun-11,7,6.98,9:30,7.4,7.92,76.00,7.4,95.8,10.41,.,0.06,6.14,1,.,.,3.8,
2011-0243,Toolik,24-Jun-11,8,8.01,9:31,7.3,7.16,76.40,7.35,92.9,10.28,.,0.04,4.05,,,.,3.8,
,Toolik,24-Jun-11,9,8.99,9:33,7.3,6.32,76.80,7.28,87.3,9.87,.,0.04,3.53,,,.,3.8,
,Toolik,24-Jun-11,10,9.99,9:34,7.3,5.29,77.50,7.23,82.4,9.58,.,0.03,2.79,,,.,3.8,
,Toolik,24-Jun-11,11,11,9:35,7.3,5.13,78.40,7.21,80.9,9.44,.,0.03,2.86,,,.,3.8,
2011-0244,Toolik,24-Jun-11,12,11.99,9:36,7.3,5.04,78.30,7.2,79.6,9.31,.,0.03,2.21,,,.,3.8,
,Toolik,24-Jun-11,13,12.99,9:37,7.3,4.91,78.80,7.19,78.8,9.24,.,0.02,2.00,,,.,3.8,
,Toolik,24-Jun-11,14,13.98,9:39,7.3,4.86,78.70,7.18,77.6,9.12,.,0.03,2.67,,,.,3.8,
,Toolik,24-Jun-11,15,15,.,.,4.76,78.90,7.16,76.5,9.01,.,0.02,2.11,,,.,3.8,Values for this depth not saved to Surveyor. I used values recorded in Field Book.
2011-0245,Toolik,24-Jun-11,16,15.96,9:42,7.3,4.61,80.00,7.16,74.9,8.85,.,0.03,2.17,,,.,3.8,
,Toolik,24-Jun-11,17,16.99,9:43,7.2,4.59,79.90,7.15,74.7,8.83,.,0.03,2.09,,,.,3.8,
,Toolik,24-Jun-11,18,17.96,9:44,7.3,4.54,80.30,7.15,74.1,8.77,.,0.03,2.73,,,.,3.8,
2011-0246,Toolik,24-Jun-11,19,19.01,9:45,7.2,4.5,80.60,7.15,73.5,8.71,.,0.02,2.03,,,.,3.8,
,Toolik,24-Jun-11,19.5,19.51,9:46,7.2,4.5,80.20,7.15,73.3,8.69,.,0.03,2.11,,,.,3.8,
2011-0100,E5,27-Jun-11,0,-0.01,11:34,7.2,16.44,14.30,6.89,106.8,9.56,.,0.03,2.47,1024,.,.,2.5,
,E5,27-Jun-11,0.5,0.51,11:36,7.2,16.44,14.30,6.89,106.7,9.55,.,0.02,2.04,544,.,.,2.5,
2011-0101,E5,27-Jun-11,1,0.98,11:37,7.2,16.43,14.30,6.88,106.9,9.57,.,0.03,2.52,1114,.,.,2.5,
,E5,27-Jun-11,2,1.98,11:39,7.2,16.41,14.30,6.88,106.6,9.55,.,0.04,4.05,102,.,.,2.5,
2011-0102,E5,27-Jun-11,3,3.02,11:41,7.1,11.2,14.00,6.61,106.3,10.69,.,0.09,8.92,51,.,.,2.5,
,E5,27-Jun-11,4,4.01,11:43,7.1,8.12,14.00,6.37,89,9.63,.,0.21,21.17,17,.,.,2.5,
2011-0103,E5,27-Jun-11,5,4.98,11:45,7.1,6.96,14.30,6.25,77.2,8.6,.,0.12,12.25,5,.,.,2.5,
,E5,27-Jun-11,6,5.97,11:46,7.1,6.57,14.30,6.2,74.1,8.33,.,0.08,8.22,2,.,.,2.5,
,E5,27-Jun-11,7,6.94,11:47,7.1,6.23,14.40,6.15,67.3,7.63,.,0.06,5.57,1,.,.,2.5,
2011-0104,E5,27-Jun-11,8,7.99,11:49,7.1,6.08,14.20,6.13,65,7.39,.,0.06,5.71,,.,.,2.5,
,E5,27-Jun-11,9,9,11:50,7.1,6.01,14.40,6.11,61.2,6.98,.,0.08,7.32,,.,.,2.5,
2011-0105,E5,27-Jun-11,10,9.99,11:51,7.1,6.01,14.50,6.12,58,6.61,.,0.08,8.39,,.,.,2.5,
,E5,27-Jun-11,10.5,10.48,11:53,7.1,5.9,14.70,6.12,56.5,6.46,.,0.14,13.63,,.,.,2.5,
,E5,27-Jun-11,11,11.01,11:54,7.1,5.84,15.10,6.1,55.5,6.35,.,0.11,10.81,,.,.,2.5,
2011-0106,E6,27-Jun-11,0,-0.01,13:48,7.1,18.56,13.60,6.89,104,8.91,.,0.02,1.54,786,.,.,>Xm,"X = 2.7, Secchi hit bottom at 2.7m"
,E6,27-Jun-11,0.5,0.53,13:50,7.1,18.57,13.60,6.9,104.1,8.92,.,0.03,2.17,398,.,.,>Xm,"X = 2.7, Secchi hit bottom at 2.7m"
2011-0107,E6,27-Jun-11,1,1.02,13:51,7.1,18.57,13.80,6.88,103.9,8.9,.,0.03,2.44,177,.,.,>Xm,"X = 2.7, Secchi hit bottom at 2.7m"
,E6,27-Jun-11,1.5,1.5,13:52,7,18.56,13.70,6.87,103.7,8.89,.,0.03,2.52,101,.,.,>Xm,"X = 2.7, Secchi hit bottom at 2.7m"
2011-0108,E6,27-Jun-11,2,1.99,13:54,7.1,17.8,13.70,6.79,103.5,9.01,.,0.04,3.70,94,.,.,>Xm,"X = 2.7, Secchi hit bottom at 2.7m"
,E6,27-Jun-11,2.5,2.5,13:55,7,14.93,13.80,6.56,103.2,9.54,.,0.08,8.08,33,.,.,>Xm,Chlorophyll original values from Hydrolab download 0.4877V and 53.11ug/l. Records in Field book of 0.0792V and 8.08 ug/l agree more closely with chlorophyll extraction values from this date. Secchi hit bottom at 2.7 m
2011-2050,Fog 2,29-Jun-11,0,0.02,10:46,7.6,12.91,142.20,8.02,100.9,9.64,.,0.01,0.58,288,.,.,5.5,
,Fog 2,29-Jun-11,0.5,0.52,10:47,7.6,12.95,142.60,8.02,100.9,9.64,.,0.01,0.90,178,.,.,5.5,
2011-2051,Fog 2,29-Jun-11,1,1.01,10:49,7.5,12.95,142.30,8.01,100.9,9.63,.,0.01,0.96,123,.,.,5.5,
,Fog 2,29-Jun-11,2,1.98,10:50,7.5,12.94,142.60,8.01,100.8,9.62,.,0.01,1.01,84,.,.,5.5,
2011-2052,Fog 2,29-Jun-11,3,2.98,10:51,7.5,12.92,142.70,8.02,100.4,9.59,.,0.02,1.18,62,.,.,5.5,
,Fog 2,29-Jun-11,4,3.97,10:54,7.4,8.87,143.10,7.79,100.5,10.55,.,0.02,1.61,47,.,.,5.5,
2011-2053,Fog 2,29-Jun-11,5,4.99,10:56,7.4,7.11,145.40,7.75,97.8,10.72,.,0.02,1.91,33,.,.,5.5,
,Fog 2,29-Jun-11,6,5.99,10:58,7.4,6.51,147.30,7.72,94.3,10.49,.,0.03,3.11,24,.,.,5.5,
,Fog 2,29-Jun-11,7,6.95,11:01,7.3,5.99,150.70,7.67,91.2,10.28,.,0.04,3.79,16,.,.,5.5,
2011-2054,Fog 2,29-Jun-11,8,7.98,11:02,7.3,5.44,154.90,7.6,85.4,9.77,.,0.06,6.19,10,.,.,5.5,
,Fog 2,29-Jun-11,9,9.01,11:03,7.3,5.15,158.80,7.53,81.1,9.34,.,0.09,8.96,6,.,.,5.5,
,Fog 2,29-Jun-11,10,9.98,11:04,7.3,4.92,162.30,7.47,74.7,8.66,.,0.12,11.68,4,.,.,5.5,
,Fog 2,29-Jun-11,11,10.95,11:06,7.2,4.7,162.80,7.41,65,7.58,.,0.11,10.38,1,.,.,5.5,
2011-2055,Fog 2,29-Jun-11,12,11.99,11:07,7.2,4.5,168.60,7.35,57.1,6.7,.,0.05,4.76,,.,.,5.5,
,Fog 2,29-Jun-11,13,13.03,11:09,7.2,4.37,171.40,7.32,51.2,6.02,.,0.04,3.14,,.,.,5.5,
,Fog 2,29-Jun-11,14,14.01,11:10,7.2,4.33,171.90,7.32,48.2,5.67,.,0.03,2.65,,.,.,5.5,
,Fog 2,29-Jun-11,15,15.02,11:13,7.2,4.31,172.10,7.31,46.9,5.53,.,0.03,2.73,,.,.,5.5,Values for chlorophyll for this from Surveyor were in error. I used values recorded in Field Book.
2011-2056,Fog 2,29-Jun-11,16,15.97,11:14,7.2,4.28,173.10,7.3,46,5.42,.,0.03,2.13,,.,.,5.5,
,Fog 2,29-Jun-11,17,16.97,11:16,7.2,4.24,173.40,7.3,44.1,5.2,.,0.02,1.77,,.,.,5.5,
,Fog 2,29-Jun-11,18,17.98,11:17,7.1,4.22,174.10,7.29,42.7,5.04,.,0.02,1.73,,.,.,5.5,
,Fog 2,29-Jun-11,19,19.01,11:17,7.1,4.2,174.20,7.3,42,4.96,.,0.02,1.90,,.,.,5.5,
2011-2057,Fog 4,29-Jun-11,0,0,12:23,7.1,14.67,104.40,7.89,98.5,9.05,.,0.02,1.61,451,.,.,3.1,
,Fog 4,29-Jun-11,0.5,0.52,12:26,7.1,14.69,104.50,7.9,98.9,9.08,.,0.03,2.14,341,.,.,3.1,
2011-2058,Fog 4,29-Jun-11,1,1,12:29,7.1,14.67,104.10,7.9,99,9.09,.,0.04,3.33,190,.,.,3.1,
,Fog 4,29-Jun-11,2,2.01,12:30,7.1,14.64,104.10,7.9,99,9.1,.,0.04,3.25,79,.,.,3.1,
2011-2059,Fog 4,29-Jun-11,3,3.02,12:33,7,9.81,106.50,7.28,88.8,9.11,.,0.05,4.79,30,.,.,3.1,
,Fog 4,29-Jun-11,3.5,3.52,12:34,7,8.8,109.40,7.05,61.9,6.5,.,0.05,4.71,20,.,.,3.1,
,Fog 4,29-Jun-11,4,3.99,12:35,7,8.31,113.40,6.89,23.6,2.51,.,0.05,4.32,14,.,.,3.1,
2011-0252,Toolik,1-Jul-11,0,0,9:46,6.8,12.84,77.30,7.8,99.3,9.5,.,0.02,1.67,339,.,.,3.6,
,Toolik,1-Jul-11,0.5,0.53,9:46,6.8,12.85,77.20,7.78,99.4,9.51,.,0.02,1.64,236,.,.,3.6,
2011-0253,Toolik,1-Jul-11,1,1,9:47,6.8,12.85,77.50,7.79,99.1,9.49,.,0.04,2.39,119,.,.,3.6,
,Toolik,1-Jul-11,2,2.02,9:51,6.8,12.82,77.40,7.79,99.1,9.49,.,0.04,3.40,57,.,.,3.6,
2011-0254,Toolik,1-Jul-11,3,3.03,9:52,6.8,12.8,77.20,7.78,98.9,9.47,.,0.04,3.53,24,.,.,3.6,
,Toolik,1-Jul-11,4,4,9:54,6.7,12.57,77.60,7.75,99.1,9.54,.,0.05,4.47,12,.,.,3.6,
2011-0255,Toolik,1-Jul-11,5,5,9:56,6.7,10.71,76.50,7.49,100.7,10.12,.,0.09,8.36,7,.,.,3.6,
,Toolik,1-Jul-11,6,6,9:57,6.7,9.04,76.80,7.39,97.9,10.24,.,0.10,10.09,4,.,.,3.6,
,Toolik,1-Jul-11,7,7,10:00,6.7,7.77,76.70,7.28,90.6,9.77,.,0.09,9.15,2,.,.,3.6,
2011-0256,Toolik,1-Jul-11,8,7.99,10:01,6.7,6.86,76.50,7.21,86,9.49,.,0.06,5.61,,,.,3.6,
,Toolik,1-Jul-11,9,8.97,10:03,6.7,6.33,77.30,7.18,82.9,9.27,.,0.05,4.50,,,.,3.6,
,Toolik,1-Jul-11,10,9.99,10:05,6.7,5.8,77.80,7.15,80.4,9.11,.,0.04,3.33,,,.,3.6,
,Toolik,1-Jul-11,11,10.99,10:06,6.7,5.5,77.90,7.13,78.5,8.96,.,0.03,2.81,,,.,3.6,
2011-0257,Toolik,1-Jul-11,12,12.03,10:09,6.7,5.35,78.30,7.12,76.9,8.81,.,0.03,2.16,,,.,3.6,
,Toolik,1-Jul-11,13,12.99,10:10,6.7,5.21,78.50,7.11,76.1,8.76,.,0.02,1.97,,,.,3.6,
